"Carimbo de data/hora","1.Qual o seu curso?","2. Qual o período cursado?","3. Informe os 7 últimos dígitos do seu RA: (109nnnxxxxxxx) ","4. Qual o estado do Brasil que você nasceu?","5. Qual sua cidade de residência?","6. Qual é o seu gênero?","6-1.Qual é a sua orientação sexual?","7. Agora vamos falar sobre sua idade:
Em qual dia você nasceu?","7-1. Em qual mês você nasceu?","7-2. Em qual ano você nasceu?","8. Qual é o seu estado civil?","9. Você é portador de alguma deficiência? (Pode selecionar mais de uma, se for o caso)","10. Quantos filhos você tem?","11. Com quem você mora atualmente?","12. Quantas pessoas, incluindo você, moram no seu domicílio?","13. Qual a situação do domicílio onde mora?","14. Tempo de moradia neste domicílio.","15. Você possui algum animal de estimação?","15-1. Qual(is) esporte(s) você pratica?","16. Qual a faixa de renda mensal da sua família (em Salários Mínimos)?","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Televisor]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Automóvel]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Motocicleta]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Máquina de Lavar e/ou tanquinho]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Geladeira]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Celular Comum]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Smartphone e/ou tablet]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Microcomputador de Mesa (desktop)]","17. Quantos de cada um dos itens abaixo há em seu domicílio? [Notebook]","18. No seu domicílio você tem: [Telefone Fixo]","18. No seu domicílio você tem: [Internet]","18. No seu domicílio você tem: [TV por assinatura]","18. No seu domicílio você tem: [Empregada Mensalista]","19. Vamos tratar sobre trabalho agora:
Você trabalha?","19-1.Qual o seu vínculo com o emprego?","19-2. Qual a área do seu trabalho?","19-3 .Qual seu horário de trabalho?","19-. Qual a empresa que você está contratado agora?","20. Você tem plano de saúde privado?","21. Vamos considerar a escolaridade da família:
Qual o grau de escolaridade do seu pai?
(Somente o ensino completo) 
","21-1.Qual o grau de escolaridade da sua mãe?
(Somente o ensino completo)","22. Na sua vida escolar você estudou:","23. Vamos tratar sobre uso de microcomputadores (notebooks e desktops):
Com que frequência você utiliza microcomputadores?","23-1 .Onde você utiliza microcomputadores (notebooks e desktops)? [Em casa]","23-1 .Onde você utiliza microcomputadores (notebooks e desktops)? [No trabalho]","23-1 .Onde você utiliza microcomputadores (notebooks e desktops)? [Na escola]","23-1 .Onde você utiliza microcomputadores (notebooks e desktops)? [Em outros lugares]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para trabalhos profissionais:]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para trabalhos escolares:]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para entretenimento (músicas, vídeos, redes sociais, etc):]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para comunicação por e-mail:]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para operações bancárias:]","23-2.Com qual finalidade você utiliza microcomputadores (notebooks e desktops)? [Para compras eletrônicas:]"," 24.Como você classifica seu conhecimento em informática?","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Windows:]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Linux:]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Editores de textos (Word, Writer, etc.):]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Planilhas eletrônicas (Excel, Calc, etc.):]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Apresentadores (Powerpoint, Impress, Prezzi, etc.):]","25. Qual o seu conhecimento em relação aos aplicativos a seguir? [Sistemas de Gestão Empresarial]","26. Agora, considere seu conhecimento sobre o idioma Inglês: [Inglês]","26-1.considere seu conhecimento sobre o idioma Espanhol: [Espanhol]","26-2. Agora, considere seu conhecimento sobre outros idiomas: [Outros idiomas]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [TV]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Internet]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Revistas]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Jornais (meio impresso)]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Rádio]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Redes sociais]","27.Com que frequência você busca informação nos seguintes meios de comunicação: [Conversas com amigos]","28. Se você lê jornal (digital ou impresso), qual a frequência?","29. Se você lê jornal (digital ou impresso), quais os assuntos que mais lê?","30. Não considerando os livros escolares, quantos livros você lê por ano (em média)?","31. Se você lê livros literários, qual o gênero preferido?","32. Você dedica parte do seu tempo para atividades voluntárias?","33. Qual religião você professa?","34. Quais fontes de entretenimento cultural você usa?","35. Estamos quase acabando... Como conheceu a FATEC Franca?","36. Porque você escolheu este curso?","37. Qual sua maior expectativa quanto ao curso?","38. Qual sua expectativa após se formar?","39. Você já estudou na FATEC - Franca?","40. Você fez ou faz algum curso técnico?","41. Qual o meio de transporte você usa para vir à escola?","42. Escreva algumas linhas sobre sua história e seus sonhos de vida."
"2022/09/07 2:09:06 PM GMT-3","ADS","Matutino","2211027","Bahia (BA)","FRANCA","Homem cis","Heterossexual","26","Janeiro","2004","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","2 pessoas","Próprio","Mais de 5 anos","Gato","Nenhum","Até 2 SM (R$ 2.424)","3","0","0","2","1","0","2","1","0","Não","Sim","Não","Não","Não","","","","","Não tenho, uso o SUS","Ensino fundamental II (6º ao 9º anos)","Ensino Médio","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Nenhum","Pouco","Pouco","Pouco","Nenhum","Intermediário","Não fala","Não fala","Às vezes","Sempre","Nunca","Pouco","Nunca","Às vezes","Sempre","Algumas vezes por semana","Esporte","Nenhum","Não leio","Não","Prefiro não responder","Filmes na internet;Música;TV;Viagens;Games","Indicação de familiar/amigo","Este curso forma profissionais que são bem remunerados","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Conhecer novas pessoas;Obter um diploma de nível superior","Conquistar vaga em empresa privada;Abrir meu próprio negócio","Não","Não fiz","Ônibus","Nada a acrescentar "
"2022/09/07 3:49:27 PM GMT-3","ADS","Noturno","2213013","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","31","Janeiro","2002","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","4 pessoas","Próprio","Mais de 5 anos","Gato","Futebol/Futsal","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","3","2","1","1","1","0","4+","1","2","Sim","Sim","Não","Não","Sim","Sou registrado no comércio","Trabalho fora da área do curso","Manhã e tarde","Central Mecânica Automotiva","Tenho e é um plano familiar","Ensino fundamental II (6º ao 9º anos)","Ensino Superior","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Pouco","Intermediário","Intermediário","Intermediário","Intermediário","Intermediário","Básico","Não fala","Nunca","Sempre","Pouco","Pouco","Pouco","Às vezes","Pouco","Raramente","Todos os assuntos","De 3 até 6","Romance;Ficção;Autoajuda","Não","Espírita","Cinema;Filmes na internet;Literatura;Música;Viagens","Indicação de familiar/amigo","Minha intenção é seguir esta carreira","Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Sim, no SENAC","Carro (próprio)","Meus principais sonhos são: ingressar em uma carreira na área de tecnologia, impactar pessoas, construir uma família e viajar o mundo para conhecer culturas, pessoas e ambientes diferentes. "
"2022/09/07 3:49:42 PM GMT-3","ADS","Matutino","2211011","São Paulo (SP)","FRANCA","Mulher cis","Heterossexual","24","Junho","2004","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","3 pessoas","Financiado","4 a 5 anos","Nenhum","Corrida/Caminhada","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","1","0","2","1","0","3","1","1","Não","Sim","Não","Não","Não","","","","","Não tenho, uso o SUS","Prefiro não responder","Pós-graduação","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Muito","Intermediário","Pouco","Intermediário","Intermediário","Intermediário","Pouco","Intermediário","Fluente","Não fala","Às vezes","Sempre","Pouco","Pouco","Sempre","Sempre","Às vezes","Diariamente","Lazer, arte e cultura","Mais de 10","Romance;Ficção;Policial;Aventura","Não","Católica","Cinema;Filmes na internet;Literatura;Música;TV","Propaganda na escola que estudava","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Conhecer novas pessoas;Melhorar-me como pessoa para bons relacionamentos futuros;Obter um diploma de nível superior","Ingressar na carreira acadêmica","Não","Não fiz","Ônibus","Quero conquistar meus sonhos e melhorar minha qualidade de vida "
"2022/09/07 4:55:02 PM GMT-3","ADS","Matutino","2213005","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","20","Maio","2002","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","3 pessoas","Próprio","Mais de 5 anos","Cachorro","Handball","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","0","0","1","1","1","0","1","0","1","Sim","Sim","Não","Não","Sim","Sou registrado em indústria (calçados/confecções/outras)","Trabalho na área do curso","Tarde e noite","LUIZALABS","Não tenho, uso o SUS","Ensino Médio","Ensino Médio","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Avançado","Avançado","Avançado","Avançado","Avançado","Intermediário","Intermediário","Básico","Não fala","Não fala","Pouco","Às vezes","Nunca","Nunca","Nunca","Sempre","Às vezes","Algumas vezes por semana","Todos os assuntos","Nenhum","Não leio","Sim","Evangélica","Cinema;Filmes na internet;Música;Teatro;TV;Viagens;Games","Indicação de familiar/amigo","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Obter um diploma de nível superior","Conquistar vaga em empresa privada;Prestar concurso público;Melhorar cargo e salário na empresa que trabalho","Não","Não fiz","Moto (própria)","Bem sucedido e ter uma família "
"2022/09/08 1:23:54 PM GMT-3","ADS","Noturno","2213028","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","6","Fevereiro","2004","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","2 pessoas","Próprio","Mais de 5 anos","Cachorro","Ciclismo","Mais que 5 até 10 SM (R$ 6.060 - R$ 12.120)","1","1","0","2","1","0","3","0","2","Sim","Sim","Não","Não","Sim","Sou registrado em indústria (calçados/confecções/outras)","Trabalho na área do curso","Manhã e tarde","Loja do Mecânico","Tenho e é um plano familiar","Ensino Médio","Nenhuma escolaridade","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Avançado","Intermediário","Intermediário","Intermediário","Intermediário","Intermediário","Intermediário","Básico","Básico","Não fala","Pouco","Sempre","Nunca","Nunca","Pouco","Sempre","Às vezes","Não leio","Não leio jormal","Nenhum","Não leio","Sim","Católica","Cinema;Filmes na internet;Música;Viagens;Games","Indicação de familiar/amigo","Porque já trabalho na área","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Conhecer novas pessoas;Melhorar-me como pessoa para bons relacionamentos futuros;Obter um diploma de nível superior","Ter um diploma de ensino superior para me aplicar para vagas de dev sênior no exterior.","Não","Sim, no SENAC","Bicicleta","Conheci a programação em 2019, com apenas 15 anos de idade, num curso de iniciação a computação feito por uma parceria entre o UNI-Facef, a ONG Franca Viva e o Luizalabs. Este curso foi minha porta de entrada para ingressar no Luizalabs como jovem aprendiz na área de backend Java no ano de 2021. Em agosto de 2022, finalizei meu ciclo na empresa. E agora em setembro entrei como Dev Java Pleno na Loja do Mecânico."
"2022/09/08 3:56:46 PM GMT-3","ADS","Noturno","2213003","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","23","Janeiro","2004","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","4 pessoas","Próprio","1 a 2 anos","Cachorro","Nenhum","Prefiro não responder","4+","2","1","2","2","0","4+","0","1","Não","Sim","Não","Não","Não","","","","","Não tenho, uso o SUS","Ensino Médio","Ensino Médio","Sempre em escola pública","Às vezes (2 ou 3 vezes por semana)","","","","","","","","","","","Intermediário","Intermediário","Pouco","Avançado","Avançado","Avançado","Nenhum","Básico","Básico","Não fala","Pouco","Sempre","Nunca","Nunca","Pouco","Pouco","Às vezes","Não leio","Não leio jormal","Mais de 10","Ficção;Aventura","Não","Católica","Filmes na internet;Viagens;Games","Propaganda na escola que estudava","Minha intenção é seguir esta carreira","Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Sim, em uma ETEC","Bicicleta","Quero ajudar minha família e deixar eles felizes "
"2022/09/08 4:44:21 PM GMT-3","ADS","Noturno","2213039","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","17","Junho","1988","Casado(a) ou União Estável","Nenhuma","Nenhum","Com esposa(o) e(ou) filho(s)","2 pessoas","Alugado","3 a 4 anos","Nenhum","Corrida/Caminhada","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","2","0","1","1","1","0","2","1","1","Não","Sim","Não","Não","Sim","Sou estagiário","Trabalho na área do curso","Manhã","Secretaria de Educação","Não tenho, uso o SUS","Prefiro não responder","Ensino fundamental II (6º ao 9º anos)","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Avançado","Intermediário","Pouco","Intermediário","Intermediário","Intermediário","Pouco","Básico","Não fala","Não fala","Nunca","Sempre","Nunca","Nunca","Nunca","Nunca","Às vezes","Não leio","Não leio jormal","De 3 até 6","Romance;Ficção;Aventura;Autoajuda","Sim","Evangélica","Cinema;Filmes na internet;Literatura;Música;Viagens;Games","Propaganda na escola que estudava","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Conhecer novas pessoas;Melhorar-me como pessoa para bons relacionamentos futuros","Conquistar vaga em empresa privada;Prestar concurso público","Não","Sim, em uma ETEC","Moto (própria)","Em minha vida eu sempre encarei e encaro desafios. Meu sonho é dar uma vida confortável a minha família."
"2022/09/08 8:57:56 PM GMT-3","ADS","Noturno","2213024","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","10","Dezembro","1983","Casado(a) ou União Estável","Nenhuma","Um","Com esposa(o) e(ou) filho(s)","3 pessoas","Financiado","Mais de 5 anos","Cachorro","Corrida/Caminhada","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","1","1","1","1","0","3","1","1","Sim","Sim","Não","Não","Sim","Sou registrado no comércio","Trabalho fora da área do curso","Manhã e tarde","Posto paineirao 3","Tenho e é pago parcialmente pela empresa","Ensino fundamental I (1º ao 5º anos)","Ensino fundamental I (1º ao 5º anos)","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Nenhum","Intermediário","Intermediário","Pouco","Intermediário","Básico","Básico","Não fala","Nunca","Sempre","Nunca","Pouco","Pouco","Às vezes","Às vezes","Não leio","Todos os assuntos","Nenhum","Não leio","Não","Católica","Cinema;Filmes na internet;Música;Viagens","Pelo Facebook","Este curso forma profissionais facilmente absorvidos pelo mercado","Obter competências para exercício de uma profissão","Conquistar vaga em empresa privada","Não","Não fiz","Moto (própria)","Venho de uma família humilde,  sou graduado em Administração, trabalho as 16 anos em um posto de combustível, comecei o custo de ADS  na intenção de melhorar minha qualidade de vida."
"2022/09/08 11:18:30 PM GMT-3","ADS","Noturno","2113046","São Paulo (SP)","FRANCA","Mulher cis","Heterossexual","26","Novembro","1995","Casado(a) ou União Estável","Nenhuma","Nenhum","Com esposa(o) e(ou) filho(s)","2 pessoas","Alugado","Menos de 1 ano","Cachorro","Nenhum","Mais que 5 até 10 SM (R$ 6.060 - R$ 12.120)","1","1","0","1","1","0","3","0","3","Não","Sim","Não","Não","Sim","Sou registrado em empresa prestadora de serviços","Trabalho na área do curso","Manhã e tarde","Loja do Mecânico","Não tenho, uso o SUS","Ensino fundamental I (1º ao 5º anos)","Ensino fundamental I (1º ao 5º anos)","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Muito","Intermediário","Pouco","Intermediário","Intermediário","Intermediário","Intermediário","Básico","Não fala","Não fala","Pouco","Sempre","Pouco","Nunca","Pouco","Sempre","Às vezes","Diariamente","Todos os assuntos","Até 2","Ficção","Não","Nenhuma","Cinema;Filmes na internet;Música;TV;Viagens;Games","Cartaz de divulgação","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Obter um diploma de nível superior","Melhorar cargo e salário na empresa que trabalho;Ingressar na carreira acadêmica","Não","Não fiz","Carro (próprio)","Sou formada em Matemática e atualmente faço Química (ead) e ADS (presencial), até os meus 30 anos quero estár formada nas áreas que estudo e incluindo Física e uma pós na área de Astronomia (sou astronoma amadora). Sou Analista de Intelência de Mercado, trabalhando na área de dados e pretendo continuar na área. Meus sonhos são ter minha casa própria, formar nas áreas que estudo e realizar tudo que planejo..."
"2022/09/08 11:23:02 PM GMT-3","ADS","Matutino","2211038","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","1","Março","2003","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","4 pessoas","Próprio","Mais de 5 anos","Cachorro","Futebol/Futsal;Academia","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","1","1","1","1","1","1","1","1","1","Sim","Não","Não","Sim","Não","","","","","Não tenho, uso o SUS","Ensino Médio","Ensino Médio","Sempre em escola pública","Pouco (1 ou 2 vezes por semana)","","","","","","","","","","","Intermediário","Intermediário","Nenhum","Pouco","Pouco","Pouco","Pouco","Básico","Não fala","Não fala","Às vezes","Sempre","Pouco","Nunca","Nunca","Sempre","Nunca","Diariamente","Esporte","Nenhum","Não leio","Sim","Nenhuma","Cinema","Cartaz de divulgação","Este curso é de média duração","Obter novos conhecimentos","Melhorar cargo e salário na empresa que trabalho;Nenhuma expectativa","Sim","Não fiz","Caminhando","Jj"
"2022/09/08 11:26:02 PM GMT-3","ADS","Noturno","1090482","Amazonas (AM)","Capetinga","Homem cis","Heterossexual","15","Dezembro","1994","Separado(a), desquitado(a), divorciado(a)","Física","Um","Com pais e(ou) parentes","5 ou mais pessoas","Próprio","Mais de 5 anos","Nenhum","Nenhum","Mais que 10 até 20 SM (R$ 12.120- R$ 24.240)","2","2","1","1","2","0","3","2","1","Sim","Sim","Sim","Sim","Sim","Sou empresário","Trabalho fora da área do curso","Manhã e tarde","Cuido do Sitio da Familia","Tenho e é um plano familiar","Ensino Superior","Ensino Superior","A maior parte em escola pública","Muito (3 ou 4 vezes por semana)","","","","","","","","","","","Avançado","Intermediário","Intermediário","Intermediário","Intermediário","Intermediário","Nenhum","Intermediário","Não fala","Não fala","Pouco","Às vezes","Pouco","Pouco","Pouco","","Às vezes","Raramente","Política","Mais de 10","Ficção;Aventura","Sim","Prefiro não responder","Cinema;Filmes na internet;Música;Games","Propaganda na escola que estudava","Este curso é gratuito","Não tenho expectativa alguma","Nenhuma expectativa","Não","Sim, em uma ETEC","Carro por aplicativo (Uber, 99, etc.)","Mais um alguem perdido nas areia do destino"
"2022/09/08 11:26:44 PM GMT-3","ADS","Noturno","2213021","Minas Gerais (MG)","FRANCA","Mulher cis","Heterossexual","6","Janeiro","1990","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","5 ou mais pessoas","Próprio","Mais de 5 anos","Cachorro","Outro(s)","Mais que 2 até 5 SM (R$ 2.424 - R$6.060 )","2","4+","0","1","1","4+","0","1","1","Não","Sim","Não","Não","Sim","Sou autônomo","Trabalho na área do curso","Manhã e tarde","Oneberto","Não tenho, uso o SUS","Ensino Médio","Ensino Médio","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Intermediário","Nenhum","Intermediário","Intermediário","Intermediário","Nenhum","Não fala","Não fala","Não fala","Pouco","Sempre","Nunca","Nunca","Pouco","Pouco","Nunca","Não leio","Não leio jormal","De 7 a 10","Romance","Não","Católica","Nenhuma","Pelo Facebook","Minha intenção é seguir esta carreira","Obter novos conhecimentos","Nenhuma expectativa","Não","Sim, em uma ETEC","Carro (próprio)","A vida é um processo de aprendizagem, meu sonho de vida é desenvolver como ser humano "
"2022/09/08 11:52:15 PM GMT-3","ADS","Noturno","2213019","São Paulo (SP)","FRANCA","Homem cis","Homossexual","1","Fevereiro","1998","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","5 ou mais pessoas","Próprio","2 a 3 anos","Cachorro","Nenhum","Mais que 10 até 20 SM (R$ 12.120- R$ 24.240)","2","3","1","1","1","0","4+","1","3","Sim","Sim","Sim","Não","Sim","Sou autônomo","Trabalho fora da área do curso","Tarde","Autônomo","Não tenho, uso o SUS","Prefiro não responder","Pós-graduação","Sempre em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Intermediário","Pouco","Nenhum","Intermediário","Intermediário","Pouco","Pouco","Básico","Básico","Não fala","Pouco","Às vezes","Nunca","Pouco","Pouco","Sempre","Às vezes","Raramente","Notícias internacionais","De 3 até 6","Ficção","Não","Nenhuma","Cinema;Exposições de arte;Filmes na internet;Literatura;Museus;Música;Teatro;TV;Viagens","Indicação de familiar/amigo","Minha intenção é seguir esta carreira","Obter novos conhecimentos","Conquistar vaga em empresa privada;Abrir meu próprio negócio;Ingressar na carreira acadêmica","Não","Sim, em uma ETEC","Moto (própria)","Minha história de vida nunca foi tão fácil. Tenho meus sonhos e  objetivos a serem alcançados a curto e longo prazo, corro atrás deles para lograr êxito."
"2022/09/09 6:04:35 AM GMT-3","ADS","Noturno","2213046","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","24","Maio","2003","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","5 ou mais pessoas","Próprio","Mais de 5 anos","Cachorro","Futebol/Futsal;Basquete;Vôlei;Academia","Mais que 5 até 10 SM (R$ 6.060 - R$ 12.120)","3","2","0","1","1","2","4+","0","2","Sim","Sim","Não","Não","Sim","Não trabalho","Não trabalho","Não trabalho","","Tenho e é um plano familiar","Ensino fundamental II (6º ao 9º anos)","Pós-graduação","Sempre em escola pública","Muito (3 ou 4 vezes por semana)","","","","","","","","","","","Intermediário","Pouco","Nenhum","Intermediário","Intermediário","Intermediário","Nenhum","Intermediário","Básico","Não fala","Pouco","Sempre","Nunca","Nunca","Pouco","Às vezes","Às vezes","Raramente","Todos os assuntos","Nenhum","Não leio","Não","Nenhuma","Cinema;Filmes na internet;Música;TV;Games","Indicação de familiar/amigo","Minha intenção é seguir esta carreira","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Melhorar-me como pessoa para bons relacionamentos futuros","Conquistar vaga em empresa privada","Não","Sim, em uma ETEC","Carro (próprio)","Sempre gostei de mexer em computador e celular, depois de ter feito mecatrônica na ETEC por conta desse gosto, desenvolvi interesse em trabalhar com tecnologia e por meio de disciplinas da Mecatrônica decidi tentar entrar na área de programação "
"2022/09/09 7:45:08 AM GMT-3","ADS","Matutino","2121023","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","5","Abril","2002","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","3 pessoas","Próprio","Menos de 1 ano","Cachorro","Basquete;Natação;Academia","Mais que 10 até 20 SM (R$ 12.120- R$ 24.240)","4+","2","0","2","2","0","4+","4+","4+","Sim","Sim","Sim","Sim","Sim","Sou registrado no comércio","Trabalho fora da área do curso","Tarde e noite","Panificadora perola","Tenho e é um plano familiar","Ensino Médio","Ensino Médio","Sempre em escola particular paga pela família","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Muito","Avançado","Pouco","Avançado","Avançado","Intermediário","Intermediário","Fluente","Não fala","Básico","Pouco","Sempre","Nunca","Nunca","Nunca","Pouco","Nunca","Não leio","Não leio jormal","Até 2","Ficção;Aventura","Não","Nenhuma","Cinema;Música;TV;Viagens;Games","Indicação de familiar/amigo","Este curso forma profissionais facilmente absorvidos pelo mercado","Obter novos conhecimentos;Obter competências para exercício de uma profissão;Melhorar-me como pessoa para bons relacionamentos futuros;Obter um diploma de nível superior","Conquistar vaga em empresa privada;Prestar concurso público","Não","Não fiz","Carro (próprio)","."
"2022/09/09 9:36:10 AM GMT-3","ADS","Matutino","2211002","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","19","Abril","2004","Solteiro(a)","Nenhuma","Nenhum","Com pais e(ou) parentes","4 pessoas","Próprio","Mais de 5 anos","Gato","Basquete","Até 2 SM (R$ 2.424)","2","1","0","1","1","0","4+","0","0","Não","Sim","Não","Não","Sim","Sou registrado em indústria (calçados/confecções/outras)","Trabalho fora da área do curso","Tarde e noite","Giraffas","Não tenho, uso o SUS","Ensino Médio","Ensino Médio","Sempre em escola pública","Às vezes (2 ou 3 vezes por semana)","","","","","","","","","","","Intermediário","Intermediário","Pouco","Avançado","Avançado","Avançado","Intermediário","Básico","Intermediário","Básico","Pouco","Sempre","Pouco","Nunca","Pouco","Às vezes","Às vezes","Não leio","Não leio jormal","Mais de 10","Ficção;Aventura;Light novel","Não","Católica","Filmes na internet;Literatura;TV;Games","Cartaz de divulgação","Minha intenção é seguir esta carreira","Obter novos conhecimentos","Abrir meu próprio negócio","Não","Sim, em outra instituição","Ônibus","Sou um otaku e meu sonho e ser um programador de jogos"
"2022/09/09 9:50:21 AM GMT-3","DSM","Noturno","7777777","São Paulo (SP)","FRANCA","Homem cis","Heterossexual","9","Setembro","1904","Separado(a), desquitado(a), divorciado(a)","Nenhuma","Três","Com esposa(o) e(ou) filho(s)","4 pessoas","Alugado","Mais de 5 anos","Cachorro","Corrida/Caminhada;Nenhum;Outro(s)","Mais que 5 até 10 SM (R$ 6.060 - R$ 12.120)","2","2","0","1","1","0","2","0","2","Sim","Sim","Não","Não","Sim","Sou empresário","Trabalho na área do curso","Manhã e tarde","prefiro não responder","Tenho e é pago parcialmente pela empresa","Pós-graduação","Ensino Superior","A maior parte em escola pública","Sempre (5 vezes por semana ou mais)","","","","","","","","","","","Avançado","Avançado","Avançado","Avançado","Avançado","Avançado","Avançado","Fluente","Básico","Não fala","Às vezes","Sempre","Pouco","Nunca","Pouco","Pouco","Às vezes","Raramente","Notícias internacionais","Mais de 10","Romance;Ficção;Policial;Biográfico;Aventura;Conto, poesia","Sim","Espírita;não frequento algum centro regularmente","Filmes na internet;Literatura;Música;Teatro;TV","Indicação de familiar/amigo","Porque já trabalho na área","Obter novos conhecimentos","aplicar os conhecimentos a resolução de problemas","Não","Não fiz","Carro (próprio)","testando a fase 1 da atividade de perfil socioeconomico"
